Key,en,es,ar
Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,Tome el control de su cuenta restableciendo su contraseña. Nuestra página de recuperación de contraseña lo guía a través de los pasos necesarios para restablecer su contraseña de forma segura.,السيطرة على حسابك عن طريق إعادة تعيين كلمة المرور الخاصة بك. ترشدك صفحة استعادة كلمة المرور الخاصة بنا إلى الخطوات اللازمة لإعادة تعيين كلمة المرور الخاصة بك بشكل آمن.
Send OTP,Send OTP,Enviar OTP,أرسل كلمة مرور لمرة واحدة
Verification code sended to your email address.,Verification code sended to your email address.,Código de verificación enviado a su dirección de correo electrónico.,تم إرسال رمز التحقق إلى عنوان بريدك الإلكتروني.
The credentials field is required.,The credentials field is required.,El campo de credenciales es obligatorio.,حقل بيانات الاعتماد مطلوب.
Verify User,Verify User,Verificar usuario,التحقق من المستخدم
Verification code resend success!,Verification code resend success!,¡El reenvío del código de verificación fue exitoso!,تمت إعادة إرسال رمز التحقق بنجاح!
Password Reset,Password Reset,Restablecer contraseña,إعادة تعيين كلمة المرور
Reset Your Password,Reset Your Password,Restablecer su contraseña,إعادة تعيين كلمة المرور الخاصة بك
Enter New Password,Enter New Password,Ingrese una nueva contraseña,أدخل كلمة المرور الجديدة
Enter Confirm Password,Enter Confirm Password,Ingrese Confirmar Contraseña,أدخل تأكيد كلمة المرور
Reset,Reset,Reiniciar,إعادة ضبط
The password must be at least 6 characters.,The password must be at least 6 characters.,La contraseña debe tener al menos 6 caracteres.,يجب أن تتكون كلمة المرور من 6 أحرف على الأقل.
The password confirmation does not match.,The password confirmation does not match.,La confirmación de la contraseña no coincide.,تأكيد كلمة المرور غير متطابق.
Password reset success. Please login with new password.,Password reset success. Please login with new password.,Restablecimiento de contraseña exitoso. Por favor inicie sesión con una nueva contraseña.,نجاح إعادة تعيين كلمة المرور. الرجاء تسجيل الدخول بكلمة المرور الجديدة.
Two Factor Authenticator,Two Factor Authenticator,Autenticador de dos factores,عامل المصادقة الثنائية
Enable,Enable,Permitir,يُمكَِن
Google Authenticator,Google Authenticator,Autenticador de Google,أداة مصادقة جوجل
"Google Authenticator adds an extra layer of security to your online accounts by adding a second step of verification when you sign in. This means that in addition to your password, you'll also need to enter a code that is generated by the Google Authenticator app on your phone.","Google Authenticator adds an extra layer of security to your online accounts by adding a second step of verification when you sign in. This means that in addition to your password, you'll also need to enter a code that is generated by the Google Authenticator app on your phone.","Google Authenticator agrega una capa adicional de seguridad a sus cuentas en línea al agregar un segundo paso de verificación cuando inicia sesión. Esto significa que, además de su contraseña, también deberá ingresar un código generado por la aplicación Google Authenticator. en tu teléfono.",يضيف Google Authenticator طبقة إضافية من الأمان إلى حساباتك عبر الإنترنت عن طريق إضافة خطوة ثانية للتحقق عند تسجيل الدخول. وهذا يعني أنه بالإضافة إلى كلمة المرور الخاصة بك، ستحتاج أيضًا إلى إدخال رمز تم إنشاؤه بواسطة تطبيق Google Authenticator على هاتفك.
How to Setup?,How to Setup?,¿Cómo configurar?,كيفية الإعداد؟
Download App,Download App,Descargar aplicación,تحميل التطبيق
2 factor authentication (Powered by google)?,2 factor authentication (Powered by google)?,¿Autenticación de 2 factores (Desarrollada por Google)?,المصادقة الثنائية (مدعوم من جوجل)؟
Security Setting Updated Successfully!,Security Setting Updated Successfully!,¡Configuración de seguridad actualizada exitosamente!,تم تحديث إعداد الأمان بنجاح!
Support Tickets,Support Tickets,Boletos de soporte,تذاكر الدعم
Add New,Add New,Agregar nuevo,أضف جديد
Ticket ID,Ticket ID,ID del billete,معرف التذكرة
User,User,Usuario,مستخدم
Username,Username,Nombre de usuario,اسم المستخدم
Subject,Subject,Sujeto,موضوع
Message,Message,Mensaje,رسالة
Status,Status,Estado,حالة
Last Reply,Last Reply,Última respuesta,الرد الأخير
No data found!,No data found!,¡No se encontraron datos!,لم يتم العثور على بيانات!
Add New Ticket,Add New Ticket,Agregar nuevo boleto,إضافة تذكرة جديدة
Enter Subject,Enter Subject,Ingresar Asunto,أدخل الموضوع
Write Here,Write Here,Escribe aquí,اكتب هنا
Optional,Optional,Opcional,خياري
Attachments,Attachments,Adjuntos,المرفقات
The name field is required.,The name field is required.,El campo de nombre es obligatorio.,حقل الاسم مطلوب.
The email field is required.,The email field is required.,El campo de correo electrónico es obligatorio.,حقل البريد الإلكتروني مطلوب.
The subject field is required.,The subject field is required.,El campo de asunto es obligatorio.,حقل الموضوع مطلوب.
The attachment field is required.,The attachment field is required.,El campo adjunto es obligatorio.,الحقل المرفق مطلوب.
Oops!! Failed to upload attachment. Please try again.,Oops!! Failed to upload attachment. Please try again.,¡¡Ups!! No se pudo cargar el archivo adjunto. Por favor inténtalo de nuevo.,أُووبس!! فشل تحميل المرفق. يرجى المحاولة مرة أخرى.
Support ticket created successfully!,Support ticket created successfully!,¡Ticket de soporte creado exitosamente!,تم إنشاء تذكرة الدعم بنجاح!
SMS Sending failed! Please try again.,SMS Sending failed! Please try again.,¡Falló el envío de SMS! Por favor inténtalo de nuevo.,فشل إرسال الرسائل القصيرة! يرجى المحاولة مرة أخرى.
This support ticket is closed.,This support ticket is closed.,Este ticket de soporte está cerrado.,تم إغلاق تذكرة الدعم هذه.
Support Details,Support Details,Detalles de soporte,تفاصيل الدعم
Description,Description,Descripción,وصف
Are you sure to mark as solved,Are you sure to mark as solved,¿Estás seguro de marcar como resuelto?,"هل أنت متأكد من وضع علامة ""تم الحل""."
Because it's not reversible.,Because it's not reversible.,Porque no es reversible.,لأنه لا يمكن عكسه.
Pending Tickets,Pending Tickets,Entradas pendientes,التذاكر المعلقة
Active Tickets,Active Tickets,Entradas activas,التذاكر النشطة
Solved Tickets,Solved Tickets,Entradas resueltas,تذاكر محلولة
All Tickets,All Tickets,Todas las entradas,جميع التذاكر
All Ticket,All Ticket,Todos los boletos,جميع التذاكر
View All,View All,Ver todo,عرض الكل
Support Chat,Support Chat,Chat de soporte,دعم الدردشة
Conversation,Conversation,Conversación,محادثة
"This ticket is solved, you can't send message right now.","This ticket is solved, you can't send message right now.","Este ticket está solucionado, no puedes enviar mensaje en este momento.",تم حل هذه التذكرة، لا يمكنك إرسال رسالة الآن.
Pending Ticket,Pending Ticket,Boleto pendiente,تذكرة معلقة
Active Ticket,Active Ticket,Boleto Activo,تذكرة نشطة
Solved Ticket,Solved Ticket,Boleto resuelto,تذكرة محلولة
Notification,Notification,Notificación,إشعار
Change Password,Change Password,Cambiar la contraseña,تغيير كلمة المرور
Current Password,Current Password,Contraseña actual,كلمة المرور الحالية
New Password,New Password,Nueva contraseña,كلمة المرور الجديدة
Confirm Password,Confirm Password,confirmar Contraseña,تأكيد كلمة المرور
Active,Active,Activo,نشيط
Default,Default,Por defecto,تقصير
Pending,Pending,Pendiente,قيد الانتظار
Solved,Solved,Resuelto,تم الحل
Banned,Banned,Prohibido,محظور
Verified,Verified,Verificado,تم التحقق منه
Rejected,Rejected,Rechazado,مرفوض
Unverified,Unverified,Inconfirmado,لم يتم التحقق منها
Choose One,Choose One,Elige uno,اختر واحدًا
NID,NID,DNI,نيد
Passport,Passport,Pasaporte,جواز سفر
Driving License,Driving License,Carnet de conducir,رخصة القيادة
Front,Front,Frente,أمام
Back,Back,Atrás,خلف
ID Type,ID Type,Tipo de identificación,نوع الهوية
KYC Information,KYC Information,Información KYC,معلومات اعرف عميلك
Your KYC information is submited. Please wait for admin confirmation. When you are KYC verified you will show your submited information here,Your KYC information is submited. Please wait for admin confirmation. When you are KYC verified you will show your submited information here,"Se envía su información KYC. Espere la confirmación del administrador. Cuando esté verificado por KYC, mostrará la información enviada aquí",تم إرسال معلومات KYC الخاصة بك. الرجاء الانتظار لتأكيد المشرف. عندما يتم التحقق من KYC، ستعرض معلوماتك المقدمة هنا
Your KYC information is verified,Your KYC information is verified,Su información KYC está verificada,تم التحقق من معلومات KYC الخاصة بك
Your KYC information is rejected.,Your KYC information is rejected.,Su información KYC es rechazada.,تم رفض معلومات KYC الخاصة بك.
Please submit your KYC information with valid data.,Please submit your KYC information with valid data.,Envíe su información KYC con datos válidos.,يرجى تقديم معلومات KYC الخاصة بك مع بيانات صالحة.
Reject Reason,Reject Reason,Motivo del rechazo,رفض السبب
KYC information successfully submitted,KYC information successfully submitted,La información KYC se envió correctamente,تم إرسال معلومات KYC بنجاح
You are already KYC Verified User,You are already KYC Verified User,Ya eres usuario verificado de KYC,أنت بالفعل مستخدم تم التحقق منه (KYC).
No need to identity verification!!,No need to identity verification!!,¡¡No es necesario verificar la identidad!!,لا حاجة للتحقق من الهوية!!
Version,Version,Versión,إصدار
Search,Search,Buscar,يبحث
Fullscreen,Fullscreen,Pantalla completa,ملء الشاشة
Clear All,Clear All,Borrar todo,مسح الكل
No new notification found!,No new notification found!,¡No se encontró ninguna notificación nueva!,لم يتم العثور على إشعار جديد!
Settings,Settings,Ajustes,إعدادات
Admin Profile,Admin Profile,Perfil de administrador,الملف الشخصي للمسؤول
Language,Language,Idioma,لغة
English,English,Inglés,إنجليزي
Layout Mode,Layout Mode,Modo de diseño,وضع التخطيط
Dark Mode,Dark Mode,Modo oscuro,الوضع المظلم
Topbar Color,Topbar Color,Color de la barra superior,لون الشريط العلوي
Light Mode,Light Mode,Modo de luz,وضع الضوء
Sidebar Color,Sidebar Color,Color de la barra lateral,لون الشريط الجانبي
Min Sidebar Color,Min Sidebar Color,Color mínimo de la barra lateral,الحد الأدنى للون الشريط الجانبي
Direction,Direction,Dirección,اتجاه
RTL Support,RTL Support,Soporte RTL,دعم RTL
Profile Image,Profile Image,Imagen de perfil,صورة الملف الشخصي
Save & Change,Save & Change,Guardar y cambiar,حفظ وتغيير
Profile Information Updated Successfully!,Profile Information Updated Successfully!,¡Información de perfil actualizada con éxito!,تم تحديث معلومات الملف الشخصي بنجاح!
Welcome To,Welcome To,Bienvenido a,مرحبا بكم في
Admin Panel,Admin Panel,Panel de administración,لوحة الإدارة
Developed by,Developed by,Desarrollado por,تم تطويره بواسطة
AppDevs,AppDevs,desarrolladores de aplicaciones,AppDevs
Password updated successfully!,Password updated successfully!,¡Contraseña actualizada exitosamente!,تم تحديث كلمة المرور بنجاح!
Interface Panel,Interface Panel,Panel de interfaz,لوحة الواجهة
Active Users,Active Users,Usuarios activos,المستخدمون النشطون
Email Unverified,Email Unverified,Correo electrónico no verificado,لم يتم التحقق من البريد الإلكتروني
KYC Unverified,KYC Unverified,KYC no verificado,لم يتم التحقق من KYC
All Users,All Users,Todos los usuarios,كافة المستخدمين
Email To Users,Email To Users,Enviar correo electrónico a los usuarios,البريد الإلكتروني للمستخدمين
Banned Users,Banned Users,Usuarios prohibidos,المستخدمون المحظورون
Admin Care,Admin Care,Atención administrativa,رعاية المشرف
All Admin,All Admin,Todos los administradores,كل المشرف
Admin Role,Admin Role,Rol de administrador,دور المشرف
Role Permission,Role Permission,Permiso de rol,إذن الدور
Email To Admin,Email To Admin,Enviar correo electrónico al administrador,البريد الإلكتروني إلى المشرف
Web Settings,Web Settings,Configuración web,إعدادات الويب
Basic Settings,Basic Settings,Configuraciones básicas,الإعدادات الأساسية
Image Assets,Image Assets,Recursos de imagen,أصول الصورة
Setup SEO,Setup SEO,Configurar SEO,إعداد كبار المسئولين الاقتصاديين
App Settings,App Settings,Configuración de la aplicación,إعدادات التطبيق
Splash Screen,Splash Screen,Pantalla de bienvenida,شاشة البداية
Onboard Screen,Onboard Screen,Pantalla integrada,شاشة على متن الطائرة
Languages,Languages,Idiomas,اللغات
Setup Email,Setup Email,Configurar correo electrónico,إعداد البريد الإلكتروني
Email Method,Email Method,Método de correo electrónico,طريقة البريد الإلكتروني
Setup KYC,Setup KYC,Configurar KYC,إعداد KYC
Verification Center,Verification Center,Centro de verificación,مركز التحقق
Setup Web Content,Setup Web Content,Configurar contenido web,إعداد محتوى الويب
Setup Section,Setup Section,Sección de configuración,قسم الإعداد
Setup Pages,Setup Pages,Páginas de configuración,صفحات الإعداد
Extensions,Extensions,Extensiones,ملحقات
Useful Links,Useful Links,Enlaces útiles,روابط مفيدة
Push Notification,Push Notification,Notificación push,دفع الإخطار
Setup Notification,Setup Notification,Notificación de configuración,إشعار الإعداد
Send Notification,Send Notification,Enviar notificación,إرسال الإخطار
Bonus,Bonus,Prima,علاوة
GDPR Cookie,GDPR Cookie,Cookie RGPD,ملف تعريف الارتباط الناتج عن اللائحة العامة لحماية البيانات
Server Info,Server Info,Información del servidor,معلومات الخادم
Clear Cache,Clear Cache,Borrar caché,مسح ذاكرة التخزين المؤقت
Action,Action,Acción,فعل
User Overview,User Overview,Descripción general del usuario,نظرة عامة على المستخدم
Add/Subtract Balance,Add/Subtract Balance,Sumar/Restar Saldo,إضافة/طرح الرصيد
Login Logs,Login Logs,Registros de inicio de sesión,سجلات تسجيل الدخول
Send Email,Send Email,Enviar correo electrónico,إرسال البريد الإلكتروني
Login as Member,Login as Member,Iniciar sesión como miembro,تسجيل الدخول كعضو
Email Logs,Email Logs,Registros de correo electrónico,سجلات البريد الإلكتروني
Full Name,Full Name,Nombre completo,الاسم الكامل
Last Login,Last Login,Último inicio de sesión,تسجيل الدخول الأخير
Information of User,Information of User,Información del Usuario,معلومات المستخدم
Phone Number,Phone Number,Número de teléfono,رقم التليفون
Type Here,Type Here,Escriba aquí,اكتب هنا
User Status,User Status,Estado de usuario,حالة المستخدم
Email Verification,Email Verification,Verificación de correo electrónico,التحقق من البريد الإلكتروني
2FA Verification,2FA Verification,Verificación 2FA,التحقق 2FA
KYC Verification,KYC Verification,Verificación KYC,التحقق من KYC
Send,Send,Enviar,يرسل
Type,Type,Tipo,يكتب
Select Type,Select Type,Seleccionar tipo,حدد النوع
Balance Add,Balance Add,Agregar saldo,إضافة الرصيد
Balance Subtract,Balance Subtract,Resta de saldo,طرح الرصيد
User Wallet,User Wallet,Cartera de usuario,محفظة المستخدم
Select User Wallet,Select User Wallet,Seleccionar billetera de usuario,حدد محفظة المستخدم
Amount,Amount,Cantidad,كمية
Remark,Remark,Observación,ملاحظة
The username field is required.,The username field is required.,El campo de nombre de usuario es obligatorio.,حقل اسم المستخدم مطلوب.
The message field is required.,The message field is required.,El campo del mensaje es obligatorio.,حقل الرسالة مطلوب.
Opps! User not exists,Opps! User not exists,¡Ups! El usuario no existe,انتبه! المستخدم غير موجود
Mail successfully sended,Mail successfully sended,Correo enviado exitosamente,تم إرسال البريد بنجاح
User Login Logs,User Login Logs,Registros de inicio de sesión de usuario,سجلات دخول المستخدم
SL,SL,SL,إس إل
IP,IP,IP,الملكية الفكرية
MAC,MAC,IMPERMEABLE,ماك
Location,Location,Ubicación,موقع
Browser,Browser,Navegador,المتصفح
OS,OS,SO,نظام التشغيل
Login at,Login at,Inicia sesión en,تسجيل الدخول في
User Email Logs,User Email Logs,Registros de correo electrónico del usuario,سجلات البريد الإلكتروني للمستخدم
Mail Sender(Method),Mail Sender(Method),Remitente de correo (método),مرسل البريد (الطريقة)
Email Unverified Users,Email Unverified Users,Enviar correo electrónico a usuarios no verificados,إرسال بريد إلكتروني للمستخدمين الذين لم يتم التحقق منهم
SMS Unverified Users,SMS Unverified Users,Usuarios no verificados de SMS,المستخدمين الذين لم يتم التحقق من الرسائل النصية القصيرة
KYC Unverified Users,KYC Unverified Users,Usuarios no verificados de KYC,KYC المستخدمين الذين لم يتم التحقق منهم
User Care,User Care,Atención al usuario,رعاية المستخدم
User Details,User Details,Detalles del usuario,تفاصيل المستخدم
User Profile,User Profile,Perfil de usuario,ملف تعريف المستخدم
Kyc Profile,Kyc Profile,Perfil de Kyc,الملف الشخصي لـ Kyc
Edit KYC,Edit KYC,Editar KYC,تحرير اعرف عميلك
Information of Logs,Information of Logs,Información de registros,معلومات السجلات
File not found!,File not found!,¡Archivo no encontrado!,لم يتم العثور على الملف!
Approve,Approve,Aprobar,يعتمد
Reject,Reject,Rechazar,يرفض
KYC Information not submitted yet,KYC Information not submitted yet,Información KYC aún no enviada,لم يتم تقديم معلومات KYC بعد
Are you sure to approve,Are you sure to approve,¿Estás seguro de aprobar?,هل أنت متأكد من الموافقة
KYC information.,KYC information.,Información KYC.,"معلومات ""اعرف عميلك""."
Rejejct KYC,Rejejct KYC,Rechazar KYC,رفض اعرف عميلك
Explain Rejection Reason,Explain Rejection Reason,Explicar el motivo del rechazo,شرح سبب الرفض
User already KYC verified,User already KYC verified,Usuario ya verificado KYC,تم بالفعل التحقق من المستخدم
User KYC information not found,User KYC information not found,Información KYC del usuario no encontrada,لم يتم العثور على معلومات KYC الخاصة بالمستخدم
User KYC successfully approved,User KYC successfully approved,Usuario KYC aprobado exitosamente,تمت الموافقة على KYC للمستخدم بنجاح
The reason field is required.,The reason field is required.,El campo de motivo es obligatorio.,حقل السبب مطلوب.
User KYC information is rejected,User KYC information is rejected,La información KYC del usuario es rechazada,تم رفض معلومات KYC الخاصة بالمستخدم
User do not have sufficient balance,User do not have sufficient balance,El usuario no tiene saldo suficiente,المستخدم ليس لديه رصيد كافي
User wallet not found!,User wallet not found!,¡No se encontró la billetera del usuario!,لم يتم العثور على محفظة المستخدم!
Transaction success,Transaction success,Éxito de la transacción,نجاح الصفقة
Details,Details,Detalles,تفاصيل
Email successfully sended,Email successfully sended,Correo electrónico enviado correctamente,تم إرسال البريد الإلكتروني بنجاح
Add Admin,Add Admin,Agregar administrador,إضافة المشرف
Role,Role,Role,دور
Cancel,Cancel,Cancelar,يلغي
Add,Add,Agregar,يضيف
Generate,Generate,Generar,يولد
Select Role,Select Role,Seleccionar rol,حدد الدور
The role field is required.,The role field is required.,El campo de rol es obligatorio.,حقل الدور مطلوب.
The phone field is required.,The phone field is required.,El campo del teléfono es obligatorio.,حقل الهاتف مطلوب.
Role assign faild!,Role assign faild!,¡Error en la asignación de roles!,فشل تعيين الدور!
New admin created successfully!,New admin created successfully!,¡Nuevo administrador creado exitosamente!,تم إنشاء المشرف الجديد بنجاح!
Edit Admin,Edit Admin,Editar administrador,تحرير المشرف
Admin information updated successfully!,Admin information updated successfully!,¡La información del administrador se actualizó exitosamente!,تم تحديث معلومات المشرف بنجاح!
Are you sure to remove,Are you sure to remove,¿Estás seguro de eliminar?,هل أنت متأكد من إزالة
Admin Roles,Admin Roles,Funciones de administrador,أدوار المشرف
All Admin Roles,All Admin Roles,Todas las funciones de administrador,جميع أدوار المشرف
Role Name,Role Name,Nombre del rol,اسم الدور
Assign Admin,Assign Admin,Asignar administrador,تعيين المشرف
Add New Role,Add New Role,Agregar nuevo rol,إضافة دور جديد
Edit Role,Edit Role,Editar rol,تحرير الدور
Are you sure to delete this role?,Are you sure to delete this role?,¿Estás seguro de eliminar este rol?,هل أنت متأكد من حذف هذا الدور؟
Admin status updated successfully!,Admin status updated successfully!,¡El estado del administrador se actualizó exitosamente!,تم تحديث حالة المشرف بنجاح!
Admin role created successfully!,Admin role created successfully!,¡El rol de administrador se creó exitosamente!,تم إنشاء دور المشرف بنجاح!
Opps! Target not found!,Opps! Target not found!,¡Ups! ¡Objetivo no encontrado!,انتبه! لم يتم العثور على الهدف!
Opps! Target role not found!,Opps! Target role not found!,¡Ups! ¡Rol objetivo no encontrado!,انتبه! لم يتم العثور على الدور المستهدف!
Admin role updated successfully!,Admin role updated successfully!,¡El rol de administrador se actualizó exitosamente!,تم تحديث دور المشرف بنجاح!
Super admin role can\'t deletable.,Super admin role can\'t deletable.,La función de superadministrador no se puede eliminar.,لا يمكن حذف دور المشرف المتميز.
Admin role deleted successfully!,Admin role deleted successfully!,¡El rol de administrador se eliminó correctamente!,تم حذف دور المشرف بنجاح!
Permission Group,Permission Group,Grupo de permisos,مجموعة الأذونات
Permission Name,Permission Name,Nombre del permiso,اسم الإذن
Add New Permission,Add New Permission,Agregar nuevo permiso,إضافة إذن جديد
URI,URI,URI,URI
SL NO,SL NO,SL NO,رقم SL
Assign Permission Page/Task,Assign Permission Page/Task,Asignar página/tarea de permiso,تعيين صفحة/مهمة إذن
Select Pages,Select Pages,Seleccionar páginas,حدد الصفحات
Are you sure to delete this permission? It will also delete all permissions against this role.,Are you sure to delete this permission? It will also delete all permissions against this role.,¿Estás seguro de eliminar este permiso? También eliminará todos los permisos de este rol.,هل أنت متأكد من حذف هذا الإذن؟ سيتم أيضًا حذف كافة الأذونات مقابل هذا الدور.
Permission created successfully!,Permission created successfully!,¡Permiso creado exitosamente!,تم إنشاء الإذن بنجاح!
Permission not found!,Permission not found!,¡Permiso no encontrado!,لم يتم العثور على إذن!
Permission updated successfully!,Permission updated successfully!,¡Permiso actualizado exitosamente!,تم تحديث الإذن بنجاح!
Permission deleted successfully!,Permission deleted successfully!,¡Permiso eliminado exitosamente!,تم حذف الإذن بنجاح!
Permission assign successfully!,Permission assign successfully!,¡El permiso se asignó correctamente!,تم تعيين الإذن بنجاح!
Can\'t deletable system super admin,Can\'t deletable system super admin,No se puede eliminar el superadministrador del sistema,لا يمكن حذف المشرف المتميز للنظام
Admin deleted successfully!,Admin deleted successfully!,¡El administrador se eliminó exitosamente!,تم حذف المشرف بنجاح!
Email send successfully!,Email send successfully!,¡Envío de correo electrónico exitoso!,إرسال البريد الإلكتروني بنجاح!
All Permissions,All Permissions,Todos los permisos,جميع الأذونات
Site Base Color,Site Base Color,Color base del sitio,اللون الأساسي للموقع
Site Name,Site Name,Nombre del sitio,اسم الموقع
Web Version,Web Version,Versión Web,نسخة الويب
Site Title,Site Title,Título del sitio,عنوان الموقع
OTP Expiration,OTP Expiration,Vencimiento de la OTP,انتهاء صلاحية OTP
TimeZone,TimeZone,Zona horaria,المنطقة الزمنية
